amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-7320752-9190033	ZWH-2020082701	2020-08-27T11:54:04+00:00	2020-08-27T11:59:32+00:00	Shipping	Amazon	Non-Amazon			Standard	True Wireless Earbuds, Cystereo Fusion Bluetooth Earbuds, Graphene Driver, Qualcomm Bluetooth 5.0, Enhanced bass, IPX7 Waterproof, Touch Control, CVC 8.0 Noise Reduction, Charging Case, Sport (Black)	CR02-FUSION-USWH0A-A1S2	B08BZQLDBR	Unshipped	1										San Jose	CA	95118	US		false		
S01-5437802-8921242	ZWH-2020082601	2020-08-27T11:50:53+00:00	2020-08-27T11:56:22+00:00	Shipping	Amazon	Non-Amazon			Standard	True Wireless Earbuds, Cystereo Fusion Bluetooth Earbuds, Graphene Driver, Qualcomm Bluetooth 5.0, Enhanced bass, IPX7 Waterproof, Touch Control, CVC 8.0 Noise Reduction, Charging Case, Sport (Black)	CR02-FUSION-USWH0A-A1S2	B08BZQLDBR	Unshipped	1										Spokane	WA	99207	US		false		
S01-6972781-4655640	114-7309415-6847461-RS	2020-08-25T03:59:13+00:00	2020-08-25T16:40:19+00:00	Shipped	Amazon	Non-Amazon			Standard	True Wireless Earbuds, Cystereo Fusion Bluetooth Earbuds, Graphene Driver, Qualcomm Bluetooth 5.0, Enhanced bass, IPX7 Waterproof, Touch Control, CVC 8.0 Noise Reduction, Charging Case, Sport (Black)	CR02-FUSION-USWH0A-A1S2	B08BZQLDBR	Unshipped	1										Peachtree City	GA	30269	US		false		
S01-2212868-4690007	ZWH-2020082403	2020-08-24T06:39:51+00:00	2020-08-24T17:09:00+00:00	Shipped	Amazon	Non-Amazon			Standard	True Wireless Earbuds, Cystereo Fusion Bluetooth Earbuds, Graphene Driver, Qualcomm Bluetooth 5.0, Enhanced bass, IPX7 Waterproof, Touch Control, CVC 8.0 Noise Reduction, Charging Case, Sport (Black)	CR02-FUSION-USWH0A-A1S2	B08BZQLDBR	Unshipped	1										Cincinnati	OH	45223	US		false		
112-2339222-0482651	112-2339222-0482651	2020-08-25T02:58:38+00:00	2020-08-27T11:15:36+00:00	Shipped	Amazon	Amazon.com			Expedited	True Wireless Earbuds, Cystereo Fusion Bluetooth Earbuds, Graphene Driver, Qualcomm Bluetooth 5.0, Enhanced bass, IPX7 Waterproof, Touch Control, CVC	CR02-FUSION-USWH0A-A1S2	B08BZQLDBR	Shipped	1	USD	49.99	3.87							ROSEVILLE	CA	95678-3986	US		false		
114-3680634-1477823	114-3680634-1477823	2020-08-26T10:35:03+00:00	2020-08-27T10:24:48+00:00	Pending	Amazon	Amazon.com			Standard	True Wireless Earbuds, Cystereo Fusion Bluetooth Earbuds, Graphene Driver, Qualcomm Bluetooth 5.0, Enhanced bass, IPX7 Waterproof, Touch Control, CVC	CR02-FUSION-USWH0A-A1S2	B08BZQLDBR	Unshipped	1	USD	49.99								Lowell	MA	01852-5051	US	US Core Free Shipping Promotion A3JU1FCINF5SD0,VPC-1-133408374 Coupon	false		
113-2454448-5384269	113-2454448-5384269	2020-08-15T06:15:32+00:00	2020-08-27T08:21:58+00:00	Pending	Amazon	Amazon.com			Expedited	True Wireless Earbuds, Cystereo Fusion Bluetooth Earbuds, Graphene Drivers, Bluetooth 5.0, Enhanced bass, IPX7 Waterproof, Touch Control, CVC 8.0 Nois	CR02-FUSION-USWH0A-A1S2	B08BZQLDBR	Unshipped	1	USD	49.99								LOUISA	KY	41230-5600	US	VPC-1-133112090 Coupon	false		
111-9874896-2229059	111-9874896-2229059	2020-08-23T07:47:00+00:00	2020-08-27T07:43:21+00:00	Shipped	Amazon	Amazon.com			Standard	True Wireless Earbuds, Cystereo Fusion Bluetooth Earbuds, Graphene Driver, Qualcomm Bluetooth 5.0, Enhanced bass, IPX7 Waterproof, Touch Control, CVC	CR02-FUSION-USWH0A-A1S2	B08BZQLDBR	Shipped	1	USD	49.99	2.0	1.14					1.14	DENVER	CO	80202-5120	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
114-3811100-2614619	114-3811100-2614619	2020-08-27T07:04:48+00:00	2020-08-27T07:04:53+00:00	Pending	Amazon	Amazon.com			Standard	True Wireless Earbuds, Cystereo Fusion Bluetooth Earbuds, Graphene Driver, Qualcomm Bluetooth 5.0, Enhanced bass, IPX7 Waterproof, Touch Control, CVC	CR02-FUSION-USWH0A-A1S2	B08BZQLDBR	Unshipped	1	USD	49.99								CHARLOTTE	NC	28216-3273	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
111-3870758-4348259	111-3870758-4348259	2020-08-27T06:30:23+00:00	2020-08-27T06:30:28+00:00	Pending	Amazon	Amazon.com			Standard	True Wireless Earbuds, Cystereo Fusion Bluetooth Earbuds, Graphene Driver, Qualcomm Bluetooth 5.0, Enhanced bass, IPX7 Waterproof, Touch Control, CVC	CR02-FUSION-USWH0A-A1S2	B08BZQLDBR	Unshipped	1	USD	49.99								KANSAS CITY	KS	66106-1337	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
