amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-9147261-1997203	701-3250588-3416261-G	2020-08-27T10:19:06+00:00	2020-08-27T11:39:53+00:00	Shipping	Amazon	SI CA Prod Marketplace			Standard	VANKYO Tablet Case for MatrixPad S30 Tablet 10.1 inch, VANKYO MatrixPad S30 Tablet Slim Stand Folio Cover, Premium PU Leather Fit with Multiple Viewing Angles, Gray	LFA-3D0004-CAGY3A-A1S2	B083S774XZ	Unshipped	1										Toronto	ON	M3J 0G5	CA		false		
S01-9147261-1997203	701-3250588-3416261-G	2020-08-27T10:19:06+00:00	2020-08-27T11:39:53+00:00	Shipping	Amazon	SI CA Prod Marketplace			Standard	(2 Pack) Vankyo Glass Screen Protector for Vankyo MatrixPad S30 Tablet 10 inch, Tempered Glass High Definition/Scratch Resistant	LFA-4D0004-CACR3-A1S2	B087CZ79TG	Unshipped	1										Toronto	ON	M3J 0G5	CA		false		
S01-2504718-7768441	702-8057689-0594634-FBM	2020-08-27T11:15:33+00:00	2020-08-27T11:15:36+00:00	Pending	Amazon	SI CA Prod Marketplace			Standard	VANKYO MatrixPad S20 10 inch Tablet, Octa-Core Processor, 3GB RAM, 32GB ROM, Android 9.0 Pie, IPS HD Display, Bluetooth 5.0, 5G WiFi, GPS, USB C,Metal Body, Gray	LFA-S20H-CAGY4A-A1S2	B083BT92M1	Unshipped	1										Richmond Hill	ON	L4E 4E5	CA		false		
S01-7152934-4238063	ZWC-2020082701	2020-08-27T09:15:48+00:00	2020-08-27T10:36:30+00:00	Shipping	Amazon	SI CA Prod Marketplace			Priority	VANKYO MatrixPad S20 10 inch Tablet, Octa-Core Processor, 3GB RAM, 32GB ROM, Android 9.0 Pie, IPS HD Display, Bluetooth 5.0, 5G WiFi, GPS, USB C,Metal Body, Gray	LFA-S20H-CAGY4A-A1S2	B083BT92M1	Unshipped	1										Kitchener	ON	N2R 0E7	CA		false		
S01-9501620-4827643	702-5986162-1147454-G	2020-08-26T13:27:36+00:00	2020-08-26T21:54:34+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	(2 Pack) Vankyo Glass Screen Protector for Vankyo MatrixPad S30 Tablet 10 inch, Tempered Glass High Definition/Scratch Resistant	LFA-4D0004-CACR3-A1S2	B087CZ79TG	Unshipped	1										Beauharnois	QC	J6N 2K4	CA		false		
S01-4387720-9964428	702-7395679-0484267-RS	2020-08-26T14:28:18+00:00	2020-08-26T21:34:29+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	LFB-A15H-CAGY0A-S2A1	B07ZJD3X2P	Unshipped	1										Brampton	ON	L7A 2V4	CA		false		
S01-7163736-3985256	701-7497038-2890637-G	2020-08-26T13:31:15+00:00	2020-08-26T21:19:57+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	(2 Pack) Vankyo Glass Screen Protector for Vankyo MatrixPad S8 Tablet 8 inch, Tempered Glass High Definition/Scratch Resistant	LFA-4D0002-CACR2A-A1S3	B083BXBQZP	Unshipped	1										Brossard	QC	J4Z 3J8	CA		false		
S01-8813870-1035656	702-8460446-9283465-G	2020-08-26T13:33:52+00:00	2020-08-26T20:55:01+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	(2 Pack) Vankyo Glass Screen Protector for Vankyo MatrixPad S8 Tablet 8 inch, Tempered Glass High Definition/Scratch Resistant	LFA-4D0002-CACR2A-A1S3	B083BXBQZP	Unshipped	1										CALGARY	AB	T3P 1J3	CA		false		
S01-8965832-7308425	702-0671685-0165862-G	2020-08-25T11:42:01+00:00	2020-08-26T17:02:04+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	(2 Pack) Vankyo Glass Screen Protector for Vankyo MatrixPad S8 Tablet 8 inch, Tempered Glass High Definition/Scratch Resistant	LFA-4D0002-CACR2A-A1S3	B083BXBQZP	Unshipped	1										Terrebonne	QC	J7M1Y4	CA		false		
S01-6285787-4002010	701-6158965-2863410-RS	2020-08-26T06:23:59+00:00	2020-08-26T16:51:33+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	HeimVision HM311 Outdoor Security Camera Wireless, 3MP 1536P 2K WiFi Home Surveillance Camera with Night Vision, Floodlight, Siren Alarm, Two-Way Audio, Motion Detection, Waterproof, Cloud Service/ Microsd Support	LFA-HM311X-CAWH0A-A1S2	B085ZTLMG2	Unshipped	1										Simcoe	ON	N3Y4K6	CA		false		
