amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-5692577-9573465	AH612TXB04	2020-08-22T02:17:08+00:00	2020-08-27T12:18:14+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop H612T 12â 4K Mirror Dash Cam for Cars, Voice Control Full Touch Screen Rear View Mirror Camera, GPS Tracking, Waterproof Backup Camera 2.5K Max, 8MP Sony Sensor for Super Night Vision	SSP1-H612TX-USBK0A-AE1SE1	B089SVCW1X	Unshipped	1										Irvine	CA	92606	US		false		
S01-0756213-1765737	USMM3CBKAO	2020-08-08T07:39:20+00:00	2020-08-27T12:16:23+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop Moment 3 4K Action Camera w/Gopro Compatible Carrying Case,Remote Control,16MP Sony Sensor,30M Waterproof Camera w/Gopro Compatible Accessories,2 Batteries,170Â° Ultra Wide Angle	SSP1-MM3C-USBK0A-AE2SE6	B082186KCS	Unshipped	3															false		
S01-8906918-4013626	USA15HGYDQ	2020-08-08T07:15:50+00:00	2020-08-27T12:03:47+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	SSP1-A15H-USGY0A-AE7SE3	B085GDH4FX	Unshipped	10										Irvine	CA	92606	US		false		
S01-2186276-6950418	AA10XXXW24	2020-08-22T02:15:28+00:00	2020-08-27T11:54:19+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN A10 Mini Foldable Drone with 720P HD Camera FPV WiFi RC Quadcopter w/Voice Control, Gesture Control, Trajectory Flight, Circle Fly, High-Speed Rotation, 3D Flips, G-Sensor, Headless Mode	SSP1-A10XXX-USWH0A-AC2SC3	B086V8RPT6	Unshipped	1										Irvine	CA	92606	US		false		
S01-4122074-4361937	USMM3CBKBB	2020-08-22T02:11:05+00:00	2020-08-27T11:53:07+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop Moment 3 4K Action Camera w/Gopro Compatible Carrying Case,Remote Control,16MP Sony Sensor,30M Waterproof Camera w/Gopro Compatible Accessories,2 Batteries,170Â° Ultra Wide Angle	SSP1-MM3C-USBK0A-AE2SE6	B082186KCS	Unshipped	1															false		
S01-5026994-8687545	ASP350XR07	2020-08-22T02:18:35+00:00	2020-08-27T11:48:20+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN SP350 Mini Drone for Kids/Beginners, Portable Throw'n Go RC Quadcopter with 3 Batteries, Circle Flying, 3D Flip, Speed Adjustment & Altitude Hold, Great Gift/Toys for Boys & Girls-RED	SSP1-SP350X-USRD0A-AE2SE2	B086V39SGX	Unshipped	1															false		
S01-9859193-2909026	AH823HPN23	2020-08-22T02:07:42+00:00	2020-08-27T11:41:34+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN H823H Mini Drone for Kids, RC Pocket Quadcopter with Altitude Hold, Headless Mode, 3D Flip, Speed Adjustment and 3 Batteries-Green	SSP1-H823HP-USGN0A-AE2SE3	B086TYM52B	Unshipped	2															false		
S01-1447673-3800417	ASP350XR02	2020-08-08T07:21:53+00:00	2020-08-27T11:41:31+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN SP350 Mini Drone for Kids/Beginners, Portable Throw'n Go RC Quadcopter with 3 Batteries, Circle Flying, 3D Flip, Speed Adjustment & Altitude Hold, Great Gift/Toys for Boys & Girls-RED	SSP1-SP350X-USRD0A-AE2SE2	B086V39SGX	Unshipped	2															false		
S01-9301528-4327619	USMM40BKAJ	2020-08-11T09:01:07+00:00	2020-08-27T11:26:21+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop 4K Action Camera 20MP Moment 4 Underwater Waterproof Camera with EIS, Touch Screen, Remote, 170Â° Wide Angle WiFi Sports Cam with 2 Batteries and Accessories Kit	SSP1--MM40-USBK0A-AE2SE4	B0821FV3F6	Unshipped	8															false		
S01-7198856-2125747	USS330BU60	2020-08-11T08:54:10+00:00	2020-08-27T11:16:34+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN Hand Operated Drone for Kids or Adults, Flying Toys Mini Drones with 3D Flips,Circle Flight, Throwân Go, 2 Speed Adjustment and One Key Takeoff/Landing	SSP1-S330-USBU0A-AE1SE1	B07YMPP87X	Unshipped	19															false		
S01-8993048-4886827	USS330BU59	2020-08-08T02:42:34+00:00	2020-08-27T10:52:40+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN Hand Operated Drone for Kids or Adults, Flying Toys Mini Drones with 3D Flips,Circle Flight, Throwân Go, 2 Speed Adjustment and One Key Takeoff/Landing	SSP1-S330-USBU0A-AE1SE1	B07YMPP87X	Unshipped	13															false		
S01-1803906-7900710	USA15HGYEE	2020-08-17T09:03:41+00:00	2020-08-27T10:43:31+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	SSP1-A15H-USGY0A-AE7SE3	B085GDH4FX	Unshipped	7										Irvine	CA	92606	US		false		
S01-9953908-1549658	USA15HGYEJ	2020-08-21T08:52:09+00:00	2020-08-27T10:38:52+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	SSP1-A15H-USGY0A-AE7SE3	B085GDH4FX	Unshipped	10										Irvine	CA	92606	US		false		
S01-2032525-4094862	USA15HGYBU	2020-07-11T03:21:47+00:00	2020-08-27T10:21:34+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	SSP1-A15H-USGY0A-AE7SE3	B085GDH4FX	Unshipped	5										Irvine	CA	92606	US		false		
S01-5889443-4812751	AS650BK104	2020-08-22T02:13:17+00:00	2020-08-27T10:18:51+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN SP650 1080P Drone with Camera for Adults 1080P HD Live Video Camera Drone for Beginners w/Voice Control, Gesture Control, Circle Fly, High-Speed Rotation, Altitude Hold, Headless Mode	SSP1-S650-USBK6A-AE1SE1	B07WHRJ99S	Unshipped	7										Irvine	CA	92606	US		false		
