amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
113-7785775-1813808	113-7785775-1813808	2020-08-26T01:28:40+00:00	2020-08-27T11:44:50+00:00	Shipped	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Shipped	1	USD	40.89	1.72					20.0		Fort Worth	Texas	76137	US	VPC-1-133436623 Coupon	false		
113-0932988-2292233	113-0932988-2292233	2020-08-26T00:44:04+00:00	2020-08-27T11:26:21+00:00	Pending	Amazon	Amazon.com			Standard	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								Washington	DC	20017	US	VPC-1-133436623 Coupon	false		
114-5323388-3210618	114-5323388-3210618	2020-08-26T01:32:37+00:00	2020-08-27T10:52:27+00:00	Pending	Amazon	Amazon.com			Standard	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								CORTLAND	NY	13045-1836	US	US Core Free Shipping Promotion A3JU1FCINF5SD0,VPC-1-133436623 Coupon	false		
113-3032759-5459409	113-3032759-5459409	2020-08-26T00:25:14+00:00	2020-08-27T09:49:23+00:00	Shipped	Amazon	Amazon.com			Standard	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Shipped	1	USD	40.89	1.83	8.11				20.0	8.11	GARDEN GROVE	CA	92840-5109	US	US Core Free Shipping Promotion A3JU1FCINF5SD0,VPC-1-133436623 Coupon	false		
111-8159929-7021812	111-8159929-7021812	2020-08-26T04:08:14+00:00	2020-08-27T09:40:28+00:00	Pending	Amazon	Amazon.com			Standard	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								MORGANVILLE	NJ	07751-1351	US	US Core Free Shipping Promotion A3JU1FCINF5SD0,VPC-1-133511990 Coupon	false		
114-8914761-0823401	114-8914761-0823401	2020-08-26T17:17:26+00:00	2020-08-27T08:42:59+00:00	Shipped	Amazon	Amazon.com			Expedited	VANKYO LEISURE 3 Mini Projector, 1080P and 170'' Display Supported, Portable Movie Projector with 40,000 Hrs LED Lamp Life, Compatible with TV Stick,	1TD-LS30-USWH0A-A1S1	B078KF8CSX	Shipped	1	USD	119.99	8.52					10.0		CHINO HILLS	CA	91709-1275	US	VPC-1-133538946 Coupon	false		
112-5900921-9568254	112-5900921-9568254	2020-08-26T00:02:51+00:00	2020-08-27T08:37:35+00:00	Shipped	Amazon	Amazon.com			Expedited	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Shipped	1	USD	40.89	1.46					20.0		CUMMING	GA	30040-0335	US	VPC-1-133436623 Coupon	false		
113-7147028-3811425	113-7147028-3811425	2020-08-27T04:27:30+00:00	2020-08-27T07:53:02+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								Goshen	Ct	06756	US	VPC-1-133511990 Coupon	false		
111-1330438-4319414	111-1330438-4319414	2020-08-26T00:17:05+00:00	2020-08-27T07:25:22+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								FRIENDSWOOD	TX	77546-3674	US	VPC-1-133436623 Coupon	false		
111-5575018-1485017	111-5575018-1485017	2020-08-26T01:47:06+00:00	2020-08-27T07:17:37+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								BESSEMER	AL	35022-6443	US	VPC-1-133436623 Coupon	false		
