amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-0864136-6814820	702-0068352-7809008-RS-monitor	2020-08-26T14:55:49+00:00	2020-08-26T18:05:34+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	HeimVision Video Baby Monitor, Only Compatible with HeimVision HM136 Baby Monitor, 720P Surveillance Camera Indoor IP Camera with Night Vision	VS91-6E0001-UNWH2A-A1S1	B089RCRYHN	Unshipped	1										Mississauga	ON	L5E 2B9	CA		false		
S01-4789811-0640430	701-0526153-5651412-RS	2020-08-24T09:35:04+00:00	2020-08-24T22:05:31+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	VANKYO Gaming Headset CM7000 Pro PS4 headset with 7.1 Surround Sound Stereo Xbox One Headset, Gaming Headphones with Noise Canceling Mic & Memory Foam Ear Pads for PC, PS4, Xbox One, Nintendo Switch	VSA-CM70-CARD0A-V1S1	B07W22F9G3	Unshipped	1										Calgary	ON	T2Z 3P8	CA		false		
701-0956805-4781839	701-0956805-4781839	2020-06-28T23:26:23+00:00	2020-08-27T10:50:00+00:00	Shipped	Amazon	Amazon.ca			SecondDay	HeimVision HM311 Outdoor Security Camera Wireless, 3MP 1536P 2K WiFi Home Surveillance Camera with Night Vision, Floodlight, Siren Alarm, Two-Way Audi	VS91-HM311X-CAWH0A-A1S1	B085ZTLMG2	Shipped	1	CAD	79.99						5.0		Hammonds Plains	Nova Scotia	B4B 1Y6	CA	VPC-7-132190950 Coupon	false		
701-6226213-7840231	701-6226213-7840231	2020-06-28T23:25:36+00:00	2020-08-27T10:49:35+00:00	Shipped	Amazon	Amazon.ca			SecondDay	HeimVision HM311 Outdoor Security Camera Wireless, 3MP 1536P 2K WiFi Home Surveillance Camera with Night Vision, Floodlight, Siren Alarm, Two-Way Audi	VS91-HM311X-CAWH0A-A1S1	B085ZTLMG2	Shipped	1	CAD	79.99						5.0		Hammonds Plains	Nova Scotia	B4B 1Y6	CA	VPC-7-132190950 Coupon	false		
701-3914351-3838661	701-3914351-3838661	2020-08-27T03:01:40+00:00	2020-08-27T09:18:28+00:00	Shipped	Amazon	Amazon.ca			Expedited	HeimVision HMD2 Wireless Rechargeable Battery-Powered Security Camera, 1080P Video with 2-Way Audio, Night Vision, Waterproof Home Indoor/Outdoor WiFi	VS91-HMD2-USWH0A-A1S1	B07WH1C8MM	Shipped	2	CAD	199.98		4.08					4.08	Scarborough	ON	M1V 2V9	CA		false		
702-8973549-2892223	702-8973549-2892223	2020-08-26T12:21:36+00:00	2020-08-27T08:09:37+00:00	Shipped	Amazon	Amazon.ca			Expedited	Vankyo Glass Screen Protector for Vankyo MatrixPad Z4, Z4 Pro 10 inch (2 Pack), Tempered Glass High Definition/Scratch Resistant	VS91-TM03-CACR4A-A1S1	B07VN38JMZ	Shipped	1	CAD	16.99		1.88					1.88	Mercier	Quebec	J6R 1Y9	CA		false		
702-5880079-2518652	702-5880079-2518652	2020-08-27T01:15:11+00:00	2020-08-27T05:44:35+00:00	Shipped	Amazon	Amazon.ca			Expedited	HeimVision HMD2 Wireless Rechargeable Battery-Powered Security Camera, 1080P Video with 2-Way Audio, Night Vision, Waterproof Home Indoor/Outdoor WiFi	VS91-HMD2-USWH0A-A1S1	B07WH1C8MM	Shipped	5	CAD	499.95		6.99				10.0	6.99	St. Thomas	Ontario	N5R 6M6	CA	VPC-7-133451826 Coupon	false		
701-3554252-8592210	701-3554252-8592210	2020-08-25T15:49:15+00:00	2020-08-27T05:07:21+00:00	Shipped	Amazon	Amazon.ca			Standard	HeimVision HMD2 Wireless Rechargeable Battery-Powered Security Camera, 1080P Video with 2-Way Audio, Night Vision, Waterproof Home Indoor/Outdoor WiFi	VS91-HMD2-CAWH0A-A1S5	B07WH1C8MM	Shipped	1	CAD	99.99		2.94					2.94	Mississauga	Ontario	L5M 6V6	CA	CA Core Free Shipping - A1MKTV4OYO2HJ1	false		
702-9062048-8368262	702-9062048-8368262	2020-08-27T00:32:38+00:00	2020-08-27T04:54:56+00:00	Shipped	Amazon	Amazon.ca			Expedited	HeimVision HMD2 Wireless Rechargeable Battery-Powered Security Camera, 1080P Video with 2-Way Audio, Night Vision, Waterproof Home Indoor/Outdoor WiFi	VS91-HMD2-USWH0A-A1S1	B07WH1C8MM	Shipped	3	CAD	299.97		6.99				10.0	6.99	St Catharines	Ontario	L2M 2A9	CA	VPC-7-133451826 Coupon	false		
701-1960183-5412203	701-1960183-5412203	2020-08-26T18:33:42+00:00	2020-08-27T04:28:24+00:00	Shipped	Amazon	Amazon.ca			Standard	HeimVision HMD2 Wireless Rechargeable Battery-Powered Security Camera, 1080P Video with 2-Way Audio, Night Vision, Waterproof Home Indoor/Outdoor WiFi	VS91-HMD2-USWH0A-A1S1	B07WH1C8MM	Shipped	1	CAD	99.99		5.08						Toronto	Ontario	M5A4E7	CA		false		
701-6045249-4099426	701-6045249-4099426	2020-08-27T04:25:32+00:00	2020-08-27T04:25:36+00:00	Pending	Amazon	Amazon.ca			Expedited	HeimVision HMD2 Wireless Rechargeable Battery-Powered Security Camera, 1080P Video with 2-Way Audio, Night Vision, Waterproof Home Indoor/Outdoor WiFi	VS91-HMD2-USWH0A-A1S1	B07WH1C8MM	Unshipped	1	CAD	99.99								Whitby	Ontario	L1N 8K4	CA		false		
