amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-0661222-6270811	702-5011990-1888208-RS	2020-08-27T11:13:01+00:00	2020-08-27T11:13:04+00:00	Pending	Amazon	SI CA Prod Marketplace			Standard	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	VNTP1-A15H-CAGY0A-AC1SC1	B07ZJD3X2P	Unshipped	1										Pitt Meadows	BC	V3Y 1A4	CA		false		
S01-2705257-2374044	701-7133950-1930662-RS	2020-08-27T11:13:01+00:00	2020-08-27T11:13:04+00:00	Pending	Amazon	SI CA Prod Marketplace			Standard	SNAPTAIN SP350 Mini Drone for Kids/Beginners, Portable Throw'n Go RC Quadcopter with 3 Batteries, Circle Flying, 3D Flip, Speed Adjustment & Altitude Hold, Great Gift/Toys for Boys & Girls	VNTP1-S350-CABU0A-AC1SC1	B083DZKPG5	Unshipped	1										Mississauga	ON	L5V 1W3	CA		false		
S01-3905616-1470827	702-8039785-8759404-VG	2020-08-26T04:05:25+00:00	2020-08-27T00:11:22+00:00	Shipped	Amazon	SI CA Prod Marketplace			Priority	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	VNTP1-A15H-CAGY0A-AC1SC1	B07ZJD3X2P	Unshipped	1										Prince George	BC	V2N1W5	CA		false		
S01-3905616-1470827	702-8039785-8759404-VG	2020-08-26T04:05:25+00:00	2020-08-27T00:11:22+00:00	Shipped	Amazon	SI CA Prod Marketplace			Priority	SNAPTAIN H823H Mini Drone for Kids, RC Nano Quadcopter w/ Altitude Hold, Headless Mode, 3D Flips, One Key Return and Speed Adjustment	VNTP1-H823-CABU1A-AC1SC5	B07H5J53HN	Unshipped	1										Prince George	BC	V2N1W5	CA		false		
S01-2092749-8679604	701-0251221-4392219-VG	2020-08-26T10:47:26+00:00	2020-08-26T20:06:34+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	VNTP1-A15H-CAGY0A-AC1SC1	B07ZJD3X2P	Unshipped	1										Maple Ridge	BC	V4R 2R2	CA		false		
S01-3822932-3947630	701-9150027-4912233-RS	2020-08-25T05:27:24+00:00	2020-08-25T19:31:21+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	VNTP1-A15H-CAGY0A-AC1SC1	B07ZJD3X2P	Unshipped	1										Martintown	ON	K0C 1S0	CA		false		
S01-5519844-3787602	702-8039785-8759404-G	2020-08-25T05:27:24+00:00	2020-08-25T19:27:16+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	VNTP1-A15H-CAGY0A-AC1SC1	B07ZJD3X2P	Unshipped	1										Prince George	BC	V2N 1W5	CA		false		
S01-3354910-5487657	702-5999819-3924211-VG-1	2020-08-25T09:25:39+00:00	2020-08-25T19:23:58+00:00	Shipped	Amazon	SI CA Prod Marketplace			Priority	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	VNTP1-A15H-CAGY0A-AC1SC1	B07ZJD3X2P	Unshipped	1										Richmond Hill	ON	L4B 3G1	CA		false		
S01-4543633-4244416	701-3051347-4959403-RS	2020-08-24T05:21:23+00:00	2020-08-25T14:03:19+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	SNAPTAIN SP350 Mini Drone for Kids/Beginners, Portable Throw'n Go RC Quadcopter with 3 Batteries, Circle Flying, 3D Flip, Speed Adjustment & Altitude Hold, Great Gift/Toys for Boys & Girls	VNTP1-S350-CABU0A-AC1SC1	B083DZKPG5	Unshipped	1										Sooke	BC	V9Z 1B2	CA		false		
S01-9172130-0227625	701-6159784-0633820-G	2020-08-24T05:21:23+00:00	2020-08-24T22:00:25+00:00	Shipped	Amazon	SI CA Prod Marketplace			Standard	SNAPTAIN A15H Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	VNTP1-A15H-CAGY0A-AC1SC1	B07ZJD3X2P	Unshipped	1										Kamloops	BC	V2E2R8	CA		false		
