amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-8332813-5424430	USK800BU37	2020-08-17T08:21:03+00:00	2020-08-27T12:26:49+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop Junior K8 Kids Camera with 32GB Memory Card, Selfie 1080P Supported Waterproof Video Camera w/ 8MP 2.4 Inch Large Screen, Fill Light, Face Recognition, 4 Games, Extra Kid-Proof Silicon Case	VTX1-K800-USBU0A-AD1SD1	B07ZFT594Y	Unshipped	2															false		
S01-0630956-6198629	USK300BU80	2020-08-07T04:21:47+00:00	2020-08-27T12:25:31+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	VTX1-K300-USBU0A-AD4SD3	B07YXT8253	Unshipped	4										Irvine	CA	92606	US		false		
S01-1849704-6130738	USK800PK35	2020-08-17T08:37:27+00:00	2020-08-27T12:21:32+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop Junior K8 Kids Camera with 32GB Memory Card, Selfie 1080P Supported Waterproof Video Camera w/ 8MP 2.4 Inch Large Screen, Fill Light, Face Recognition, 4 Games, Extra Kid-Proof Silicon Case	VTX1-K800-USPK0A-AD1SD1	B07ZFT8GCL	Unshipped	2															false		
S01-0759571-8106166	USK500PK32	2020-04-18T07:37:34+00:00	2020-08-27T12:20:55+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop Junior K5 Kids Camera, 1080P HD Mini Video Camera for Children w/ 32GB Memory Card, 8MP Selfie Len, 2inch IPS Screen, Card Reader, Carrying Bag, Cartoon Sticker, Lanyard	VTX1-K500-USPK0A-AD1SD2	B07WNQB65T	Unshipped	200										Irvine	CA	92606	US		false		
S01-4789497-2798114	USK600BU56	2020-08-25T07:50:30+00:00	2020-08-27T12:16:54+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop Junior K6 Kids Camera with 32GB Memory Card, Supports 20.0MP Photo, 1080P HD Digital Video and 4X Digital Zoom, Great Gift for Kids with 2 Inch IPS Screen and Rechargeable Battery	VTX1-K600-USBU0A-AD1SD1	B07X2N6YR8	Unshipped	1															false		
S01-9833592-7065650	USH823BUAW	2020-08-25T07:43:09+00:00	2020-08-27T12:09:03+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN H823H Mini Drone for Kids, RC Nano Quadcopter w/Altitude Hold, Headless Mode, 3D Flips, One Key Return and Speed Adjustment	VTX1-H823-USBU1A-AD1SD6	B07H5J7YWH	Unshipped	1															false		
S01-3216217-0404359	USK500PK43	2020-06-19T16:45:54+00:00	2020-08-27T12:09:03+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop Junior K5 Kids Camera, 1080P HD Mini Video Camera for Children w/ 32GB Memory Card, 8MP Selfie Len, 2inch IPS Screen, Card Reader, Carrying Bag, Cartoon Sticker, Lanyard	VTX1-K500-USPK0A-AD1SD2	B07WNQB65T	Unshipped	98										Irvine	CA	92606	US		false		
S01-5016114-6950110	USH610BK64	2020-08-25T07:38:57+00:00	2020-08-27T12:05:05+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop H610 10" 2.5K Mirror Dash Cam for Cars with Full Touch Screen, Waterproof Backup Camera Rear View Mirror Camera, Enhanced Night Vision with Sony Starvis Sensor, Parking Assistance	VTX1-H610-USBK0A-AD1SD6	B07XZ1D226	Unshipped	3										Irvine	CA	92606	US		false		
S01-3866336-2659057	USH610BK55	2020-08-11T06:43:25+00:00	2020-08-27T11:59:40+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop H610 10" 2.5K Mirror Dash Cam for Cars with Full Touch Screen, Waterproof Backup Camera Rear View Mirror Camera, Enhanced Night Vision with Sony Starvis Sensor, Parking Assistance	VTX1-H610-USBK0A-AD1SD1	B07XZ1D226	Unshipped	3										Irvine	CA	92606	US		false		
S01-5332028-0860803	USMM3CBKAN	2020-08-08T07:38:17+00:00	2020-08-27T11:55:40+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop Moment 3 4K Action Camera w/Gopro Compatible Carrying Case,Remote Control,16MP Sony Sensor,30M Waterproof Camera w/Gopro Compatible Accessories,2 Batteries,170Â° Ultra Wide Angle	VTX1-MM3C-USBK0A-AD2SD7	B082186KCS	Unshipped	2															false		
S01-9615086-6210014	AS650BK108	2020-08-25T07:32:53+00:00	2020-08-27T11:54:21+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN SP650 1080P Drone with Camera for Adults 1080P HD Live Video Camera Drone for Beginners w/Voice Control, Gesture Control, Circle Fly, High-Speed Rotation, Altitude Hold, Headless Mode	VTX1-S650-USBK6A-AD1SD1	B07WHRJ99S	Unshipped	20										Irvine	CA	92606	US		false		
S01-4990289-0561429	USCT23BK16	2020-08-08T09:12:00+00:00	2020-08-27T11:53:36+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN SP500 GPS Drone Battery 7.4V 1000mAh Modular Rechargeable Li-po Battery (2 Piece) with 2 Charging Cables for SNAPTAIN SP500 GPS Foldable FPV WiFi Drone	VTX1-CT23-USBK0A-AD1SD1	B081B3HCWQ	Unshipped	1															false		
S01-3692507-2619444	USS5C0BKBG	2020-08-25T07:30:36+00:00	2020-08-27T11:52:19+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN S5C WiFi FPV Drone with 720P HD Camera,Voice Control, Wide-Angle Live Video RC Quadcopter with Altitude Hold, Gravity Sensor Function, RTF One Key Take Off/Landing, Compatible w/VR Headset	VTX1-S5C0-USBK6A-AD1SD8	B07GPNZSMY	Unshipped	11										Irvine	CA	92606	US		false		
S01-4762524-2801701	USH823BUAR	2020-08-14T08:48:45+00:00	2020-08-27T11:46:23+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN H823H Mini Drone for Kids, RC Nano Quadcopter w/Altitude Hold, Headless Mode, 3D Flips, One Key Return and Speed Adjustment	VTX1-H823-USBU1A-AD1SD6	B07H5J7YWH	Unshipped	15															false		
S01-4449548-1973239	USA15HGYDK	2020-08-05T10:59:11+00:00	2020-08-27T11:42:53+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN A15 Foldable FPV WiFi Drone w/Voice Control/120Â°Wide-Angle 720P HD Camera/Trajectory Flight/Altitude Hold/G-Sensor/3D Flips/Headless Mode/One Key Return/2 Modular Batteries/App Control	VTX1-A15H-USGY0A-AD2SD7	B07P6PRXLH	Unshipped	216										Irvine	CA	92606	US		false		
S01-0434536-4574715	USS350BU57	2020-08-20T08:28:28+00:00	2020-08-27T11:39:24+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN SP350 Mini Drone for Kids/Beginners, Portable Throw'n Go RC Quadcopter with 3 Batteries, Circle Flying, 3D Flip, Speed Adjustment & Altitude Hold, Great Gift/Toys for Boys & Girls	VTX1-S350-USBU0A-AD1SD4	B07YV417S1	Unshipped	4															false		
S01-6831463-3074914	USK800BU35	2020-08-08T07:51:31+00:00	2020-08-27T11:16:37+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop Junior K8 Kids Camera with 32GB Memory Card, Selfie 1080P Supported Waterproof Video Camera w/ 8MP 2.4 Inch Large Screen, Fill Light, Face Recognition, 4 Games, Extra Kid-Proof Silicon Case	VTX1-K800-USBU0A-AD1SD1	B07ZFT594Y	Unshipped	3															false		
S01-1335466-8283215	USS5C0BK90	2020-06-24T02:59:18+00:00	2020-08-27T11:12:41+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN S5C WiFi FPV Drone with 720P HD Camera,Voice Control, Wide-Angle Live Video RC Quadcopter with Altitude Hold, Gravity Sensor Function, RTF One Key Take Off/Landing, Compatible w/VR Headset	VTX1-S5C0-USBK6A-AD1SD8	B07GPNZSMY	Unshipped	9										Irvine	CA	92606	US		false		
S01-1639802-1915216	USK300BU91	2020-08-24T02:45:06+00:00	2020-08-27T11:11:19+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop Junior K3 Kids Camera, 1080P Supported Waterproof Video Camera w/ 32Gb Memory Card, Extra Kid-Proof Silicon Case, Card Reader, Lanyard, Carrying Bag	VTX1-K300-USBU0A-AD4SD3	B07YXT8253	Unshipped	7										Irvine	CA	92606	US		false		
S01-1093936-9791518	USH82PRDAN	2020-08-26T02:42:13+00:00	2020-08-27T11:10:45+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN H823H Portable Mini Drone for Kids, RC Pocket Quadcopter with Altitude Hold, Headless Mode, 3D Flip, Speed Adjustment and 3 Batteries, Red	VTX1-H82P-USRD1A-AD1SD5	B07R48VP3D	Unshipped	1															false		
S01-1061886-6566164	USH609BK30	2020-08-26T02:43:31+00:00	2020-08-27T11:10:42+00:00	Shipping	Amazon	Non-Amazon			Standard	VanTop H609 Dual 1080P Mirror Dash Cam with 10" IPS Full Touch Screen w/Waterproof Backup Rear View Camera, Night Vision, Parking Monitor, Loop Recording	VTX1-H609XX-USBK0A-AD1SD1	B084WWXPBS	Unshipped	1										Irvine	CA	92606	US		false		
